id_venda;id_cliente;id_produto;categoria;subcategoria;quantidade;custo_unitario;preco_unitario;receita;lucro;forma_pagamento;canal_venda;regiao;estado;data_venda;ano;mes;anomes
17;17310;2866;Escritório;Impressão;8;280,65;565,32;4522,56;2277,36;Cartão Débito;Marketplace;Norte;CE;2020-10-02;2020;10;202010
18;59911;2357;Eletrônicos;Celulares;3;351,85;779,3;2337,9;1282,35;PIX;Loja Física;Norte;RS;2024-11-19;2024;11;202411
19;77885;5780;Vestuário;Calças;1;409,66;988,85;988,85;579,19;PIX;E-commerce;Norte;CE;2017-12-29;2017;12;201712
20;10371;7015;Eletrônicos;Notebooks;3;91,3;186,03;558,09;284,19;Cartão Crédito;Marketplace;Sudeste;PR;2018-02-16;2018;2;201802
21;44047;3706;Eletrônicos;Celulares;9;358,89;838,84;7549,56;4319,55;Cartão Crédito;Marketplace;Norte;PE;2015-12-03;2015;12;201512
22;57495;1240;Móveis;Cadeiras;9;343,8;577,92;5201,28;2107,08;PIX;Marketplace;Nordeste;RJ;2023-03-28;2023;3;202303
23;23305;1718;Alimentos;Bebidas;10;129,45;225,11;2251,1;956,6;PIX;Loja Física;Norte;GO;2015-01-09;2015;1;201501
24;76527;6196;Móveis;Sofás;1;48,14;75,88;75,88;27,74;Dinheiro;E-commerce;Sul;PA;2020-08-28;2020;8;202008
25;52914;4543;Alimentos;Mercearia;1;386,65;499,53;499,53;112,88;Cartão Débito;Loja Física;Norte;GO;2024-11-09;2024;11;202411
26;50651;2999;Eletrônicos;TVs;6;84,62;186,1;1116,6;608,88;PIX;E-commerce;Centro-Oeste;MG;2023-06-03;2023;6;202306
27;11151;9592;Alimentos;Congelados;9;474,98;590,69;5316,21;1041,39;Cartão Débito;Marketplace;Nordeste;ES;2017-12-28;2017;12;201712
28;27783;5670;Eletrônicos;Acessórios;6;103,23;146,85;881,1;261,72;Boleto;E-commerce;Sudeste;DF;2024-01-21;2024;1;202401
29;77329;8148;Alimentos;Bebidas;10;447,67;662,09;6620,9;2144,2;Boleto;Loja Física;Nordeste;AM;2021-03-27;2021;3;202103
30;90831;8955;Eletrônicos;Celulares;5;64,25;148,94;744,7;423,45;Dinheiro;Marketplace;Norte;PR;2017-03-10;2017;3;201703
31;80226;1393;Móveis;Cadeiras;8;143,61;172,9;1383,2;234,32;Cartão Débito;Marketplace;Sudeste;AM;2021-05-10;2021;5;202105
32;45374;9871;Alimentos;Mercearia;6;234,43;336,78;2020,68;614,1;Cartão Crédito;E-commerce;Sudeste;RJ;2021-11-10;2021;11;202111
33;23243;7601;Vestuário;Camisetas;8;197,42;287,87;2302,96;723,6;Boleto;Marketplace;Centro-Oeste;ES;2021-02-05;2021;2;202102
34;32686;3793;Eletrônicos;Celulares;8;452,68;749,84;5998,72;2377,28;Boleto;Loja Física;Sudeste;BA;2023-06-19;2023;6;202306
35;77320;1821;Escritório;Organização;3;112,51;199,34;598,02;260,49;Cartão Crédito;Loja Física;Norte;SP;2017-10-19;2017;10;201710
36;74525;2602;Eletrônicos;Celulares;5;161,99;390,09;1950,45;1140,5;Dinheiro;E-commerce;Sul;PR;2023-11-17;2023;11;202311
37;60792;2545;Eletrônicos;Acessórios;7;365,22;643,2;4502,4;1945,86;Cartão Crédito;Marketplace;Sudeste;CE;2018-12-16;2018;12;201812
38;34507;4671;Alimentos;Snacks;1;257,85;363,58;363,58;105,73;Boleto;E-commerce;Norte;BA;2023-04-07;2023;4;202304
39;73039;9948;Alimentos;Mercearia;7;135;284,96;1994,72;1049,72;Dinheiro;Marketplace;Sul;MT;2015-01-16;2015;1;201501
40;33546;1413;Vestuário;Calças;2;186,57;313,27;626,54;253,4;Dinheiro;E-commerce;Centro-Oeste;BA;2016-08-04;2016;8;201608
41;59137;1494;Alimentos;Snacks;6;209,48;404,79;2428,74;1171,86;Dinheiro;Marketplace;Sul;RJ;2022-01-08;2022;1;202201
42;42618;6355;Vestuário;Calças;4;450,52;762,5;3050;1247,92;Cartão Débito;Marketplace;Centro-Oeste;RJ;2022-11-12;2022;11;202211
43;77704;4764;Móveis;Mesas;4;332,1;456,18;1824,72;496,32;Cartão Débito;Loja Física;Sudeste;PA;2020-10-08;2020;10;202010
44;40109;7652;Vestuário;Calças;9;204,06;268,44;2415,96;579,42;Cartão Débito;Loja Física;Norte;MG;2020-11-14;2020;11;202011
45;42901;3518;Eletrônicos;Notebooks;3;152,41;357,41;1072,23;615;PIX;E-commerce;Sul;PR;2021-07-25;2021;7;202107
46;41094;5107;Alimentos;Snacks;2;476;1090,99;2181,98;1229,98;Boleto;E-commerce;Sul;SC;2020-10-19;2020;10;202010
47;11006;9354;Móveis;Mesas;5;66,29;119,42;597,1;265,65;Dinheiro;E-commerce;Sul;SP;2023-05-25;2023;5;202305
48;55760;2209;Móveis;Cadeiras;6;485,18;618,77;3712,62;801,54;PIX;Loja Física;Sudeste;MT;2018-04-27;2018;4;201804
49;42780;4197;Móveis;Armários;7;466,67;949,77;6648,39;3381,7;PIX;Marketplace;Sul;BA;2017-09-14;2017;9;201709
50;65152;5062;Escritório;Organização;9;106,86;211,4;1902,6;940,86;Dinheiro;Loja Física;Sudeste;DF;2020-03-21;2020;3;202003
51;62538;4414;Eletrônicos;TVs;9;117,36;168,38;1515,42;459,18;PIX;E-commerce;Norte;CE;2024-08-18;2024;8;202408
52;18282;8676;Eletrônicos;Celulares;4;351,11;557,97;2231,88;827,44;Cartão Crédito;E-commerce;Sul;RJ;2021-09-02;2021;9;202109
53;32004;5712;Vestuário;Camisetas;6;357,31;811,31;4867,86;2724;Dinheiro;Marketplace;Sudeste;ES;2021-01-28;2021;1;202101
54;19100;7744;Móveis;Sofás;5;473,3;593,68;2968,4;601,9;Dinheiro;Loja Física;Norte;DF;2020-10-04;2020;10;202010
55;95843;9556;Alimentos;Congelados;4;349,46;555,89;2223,56;825,72;Cartão Débito;E-commerce;Norte;SC;2017-03-15;2017;3;201703
56;97072;3521;Vestuário;Tênis;1;359,97;487,93;487,93;127,96;Cartão Débito;E-commerce;Nordeste;MT;2024-10-13;2024;10;202410
57;80634;9365;Eletrônicos;Notebooks;1;258,79;475,28;475,28;216,49;Boleto;Loja Física;Nordeste;CE;2024-11-27;2024;11;202411
58;66184;8414;Vestuário;Camisetas;8;332,65;540,36;4322,88;1661,68;Cartão Crédito;E-commerce;Sudeste;GO;2024-12-05;2024;12;202412
59;56265;2413;Móveis;Armários;8;289,22;461,83;3694,64;1380,88;Boleto;Loja Física;Nordeste;CE;2023-01-28;2023;1;202301
60;29462;1676;Eletrônicos;Acessórios;2;280,16;675,1;1350,2;789,88;PIX;E-commerce;Sul;PA;2019-08-03;2019;8;201908
61;67878;9580;Móveis;Sofás;7;438,74;1026,01;7182,07;4110,89;PIX;Marketplace;Norte;GO;2019-10-15;2019;10;201910
62;48498;3429;Eletrônicos;Celulares;2;183,42;314,89;629,78;262,94;Dinheiro;E-commerce;Sudeste;RS;2016-09-21;2016;9;201609
63;71183;8410;Móveis;Armários;9;125,92;164,16;1477,44;344,16;Boleto;E-commerce;Sul;PE;2021-04-20;2021;4;202104
64;33727;2076;Escritório;Organização;1;452,56;937,48;937,48;484,92;Cartão Débito;Loja Física;Nordeste;SC;2018-12-03;2018;12;201812
65;93648;9003;Escritório;Papelaria;3;75,76;162,68;488,04;260,76;Boleto;Loja Física;Norte;SC;2017-11-22;2017;11;201711
66;76637;9573;Escritório;Papelaria;10;478,36;884,54;8845,4;4061,8;Boleto;Marketplace;Centro-Oeste;PE;2018-10-02;2018;10;201810
67;42985;9191;Móveis;Cadeiras;8;125,97;276,88;2215,04;1207,28;Boleto;Marketplace;Nordeste;SP;2023-07-27;2023;7;202307
68;82638;1937;Alimentos;Congelados;10;57,29;95,77;957,7;384,8;Dinheiro;E-commerce;Sudeste;SP;2024-01-13;2024;1;202401
69;35083;7973;Móveis;Armários;8;429,36;584,65;4677,2;1242,32;Boleto;Marketplace;Norte;CE;2022-09-04;2022;9;202209
70;83484;2430;Alimentos;Snacks;4;115,61;198,08;792,32;329,88;Boleto;E-commerce;Sudeste;SP;2019-11-16;2019;11;201911
71;78579;8051;Alimentos;Snacks;1;154,64;245,93;245,93;91,29;Boleto;E-commerce;Sul;CE;2019-08-22;2019;8;201908
72;18230;8335;Escritório;Impressão;7;115,09;157,2;1100,4;294,77;Boleto;Marketplace;Centro-Oeste;SP;2015-01-18;2015;1;201501
73;37031;9451;Eletrônicos;Acessórios;4;376,45;821,96;3287,84;1782,04;Dinheiro;Marketplace;Sudeste;BA;2018-09-07;2018;9;201809
74;84362;3742;Alimentos;Snacks;1;470,77;1019,46;1019,46;548,69;Cartão Crédito;E-commerce;Nordeste;RJ;2018-12-07;2018;12;201812
75;32158;1968;Vestuário;Camisetas;9;142,63;292,1;2628,9;1345,23;Boleto;E-commerce;Sul;SC;2020-01-15;2020;1;202001
76;59210;1953;Vestuário;Tênis;10;369,28;782,95;7829,5;4136,7;Boleto;Marketplace;Sudeste;RS;2019-05-02;2019;5;201905
77;54580;1542;Escritório;Papelaria;5;150,04;181,55;907,75;157,55;PIX;E-commerce;Centro-Oeste;PR;2017-08-08;2017;8;201708
78;51748;2245;Eletrônicos;Celulares;6;310,31;475,93;2855,58;993,72;Cartão Crédito;Loja Física;Sudeste;CE;2016-05-09;2016;5;201605
79;89451;6212;Alimentos;Snacks;5;387,25;708;3540;1603,75;Boleto;E-commerce;Centro-Oeste;PA;2020-04-23;2020;4;202004
80;48977;7843;Móveis;Cadeiras;2;158,28;256,63;513,26;196,7;PIX;E-commerce;Centro-Oeste;RJ;2023-05-03;2023;5;202305
81;34962;9774;Escritório;Papelaria;7;287,7;589,78;4128,46;2114,56;Cartão Débito;E-commerce;Sudeste;SP;2016-01-01;2016;1;201601
82;67150;3571;Eletrônicos;Notebooks;8;309,37;579,02;4632,16;2157,2;Dinheiro;Loja Física;Centro-Oeste;SP;2019-02-10;2019;2;201902
83;35897;1233;Vestuário;Tênis;6;437,3;1041,96;6251,76;3627,96;Dinheiro;Loja Física;Sudeste;RS;2021-06-02;2021;6;202106
84;56602;6393;Móveis;Cadeiras;5;207,29;507,41;2537,05;1500,6;Dinheiro;Loja Física;Nordeste;AM;2022-12-08;2022;12;202212
85;32568;5673;Eletrônicos;TVs;10;327,35;769,27;7692,7;4419,2;Dinheiro;Loja Física;Nordeste;PE;2022-12-27;2022;12;202212
86;72113;3684;Vestuário;Calças;5;129,05;156,15;780,75;135,5;Boleto;E-commerce;Nordeste;ES;2017-04-11;2017;4;201704
87;76119;4604;Vestuário;Jaquetas;3;102,02;236,79;710,37;404,31;PIX;Loja Física;Sudeste;DF;2023-11-12;2023;11;202311
88;62538;6007;Eletrônicos;Celulares;4;181,49;293,29;1173,16;447,2;Dinheiro;Loja Física;Sul;CE;2020-04-21;2020;4;202004
89;75613;6112;Móveis;Mesas;9;338,21;409,15;3682,35;638,46;Boleto;E-commerce;Sudeste;DF;2016-10-21;2016;10;201610
90;67527;5357;Móveis;Sofás;9;251,15;618,37;5565,33;3304,98;PIX;Loja Física;Sudeste;PE;2020-01-28;2020;1;202001
91;85288;5676;Alimentos;Bebidas;10;457,38;784,4;7844;3270,2;Boleto;Loja Física;Centro-Oeste;ES;2023-12-06;2023;12;202312
92;58028;9531;Escritório;Informática;8;167,02;210,41;1683,28;347,12;Dinheiro;Loja Física;Centro-Oeste;PR;2023-07-07;2023;7;202307
93;99216;3174;Eletrônicos;Celulares;5;460,29;740,09;3700,45;1399;Cartão Débito;Marketplace;Nordeste;AM;2015-07-12;2015;7;201507
94;40511;2361;Escritório;Papelaria;1;192,67;384,61;384,61;191,94;Boleto;E-commerce;Norte;AM;2024-10-24;2024;10;202410
95;20791;3466;Eletrônicos;TVs;10;275,07;339,2;3392;641,3;Cartão Crédito;Loja Física;Nordeste;AM;2018-01-23;2018;1;201801
96;56478;4546;Móveis;Armários;2;178,77;413,05;826,1;468,56;Cartão Crédito;Marketplace;Nordeste;GO;2016-01-23;2016;1;201601
97;58452;2211;Vestuário;Tênis;6;206,09;375,89;2255,34;1018,8;PIX;Marketplace;Sudeste;BA;2021-10-11;2021;10;202110
98;84266;7315;Vestuário;Jaquetas;7;170,49;416,89;2918,23;1724,8;Cartão Crédito;E-commerce;Sul;SC;2015-06-12;2015;6;201506
99;93160;9970;Escritório;Impressão;9;467,52;665,02;5985,18;1777,5;Boleto;Loja Física;Norte;PE;2020-09-11;2020;9;202009
100;74680;6014;Móveis;Armários;8;496,75;1181,23;9449,84;5475,84;PIX;E-commerce;Sul;DF;2020-01-04;2020;1;202001
101;59902;4345;Alimentos;Snacks;7;189,88;437,03;3059,21;1730,05;Dinheiro;E-commerce;Sudeste;BA;2018-12-18;2018;12;201812
102;26927;4978;Alimentos;Bebidas;5;44,19;90,14;450,7;229,75;Boleto;Loja Física;Sul;PE;2021-04-20;2021;4;202104
103;32155;7567;Alimentos;Congelados;8;486,08;1109,99;8879,92;4991,28;Cartão Débito;E-commerce;Nordeste;PA;2023-07-24;2023;7;202307
104;43740;9074;Alimentos;Snacks;1;102,11;222,08;222,08;119,97;Cartão Débito;Loja Física;Norte;RS;2018-10-21;2018;10;201810
105;65198;3792;Vestuário;Camisetas;1;11,14;18,27;18,27;7,13;Cartão Crédito;Loja Física;Sul;CE;2019-07-05;2019;7;201907
106;44788;5038;Móveis;Cadeiras;6;157,49;281,35;1688,1;743,16;Boleto;Loja Física;Nordeste;PE;2019-02-19;2019;2;201902
107;59604;7772;Móveis;Sofás;4;302,37;375,99;1503,96;294,48;PIX;Marketplace;Norte;GO;2016-08-03;2016;8;201608
108;56816;4586;Eletrônicos;Celulares;1;434,91;957,63;957,63;522,72;Dinheiro;Loja Física;Nordeste;SP;2024-09-19;2024;9;202409
109;48938;3345;Escritório;Papelaria;5;102,62;192,39;961,95;448,85;Boleto;E-commerce;Centro-Oeste;GO;2016-12-17;2016;12;201612
110;44314;8181;Eletrônicos;TVs;10;382,27;611,53;6115,3;2292,6;Boleto;Marketplace;Sudeste;BA;2024-12-31;2024;12;202412
111;64118;2660;Escritório;Impressão;4;344,61;532,86;2131,44;753;Cartão Débito;E-commerce;Sul;SP;2015-03-29;2015;3;201503
112;74631;7335;Eletrônicos;Notebooks;7;336,37;456,99;3198,93;844,34;Dinheiro;E-commerce;Sul;RJ;2017-04-26;2017;4;201704
113;43256;7610;Escritório;Informática;6;73,88;119,19;715,14;271,86;Cartão Débito;Loja Física;Centro-Oeste;CE;2023-08-03;2023;8;202308
114;97845;3751;Vestuário;Calças;2;365,18;573,28;1146,56;416,2;PIX;E-commerce;Sul;BA;2015-10-01;2015;10;201510
115;85803;4401;Vestuário;Tênis;6;147,59;318,02;1908,12;1022,58;Cartão Débito;Marketplace;Sudeste;BA;2016-03-23;2016;3;201603
116;84853;4669;Móveis;Mesas;6;313,44;680,74;4084,44;2203,8;Cartão Débito;Marketplace;Centro-Oeste;RS;2019-06-16;2019;6;201906
117;67609;8731;Móveis;Mesas;8;203,36;488,5;3908;2281,12;Boleto;E-commerce;Nordeste;BA;2022-07-06;2022;7;202207
118;19306;8647;Móveis;Mesas;7;410,24;653,13;4571,91;1700,23;Boleto;Marketplace;Centro-Oeste;MT;2020-05-11;2020;5;202005
119;23596;1286;Vestuário;Camisetas;9;341,37;417,71;3759,39;687,06;Boleto;E-commerce;Sudeste;PE;2017-03-25;2017;3;201703
120;39473;7134;Alimentos;Snacks;1;108,15;216,3;216,3;108,15;Boleto;E-commerce;Centro-Oeste;ES;2020-02-22;2020;2;202002
121;32986;9817;Alimentos;Congelados;2;13,73;20,67;41,34;13,88;Boleto;Marketplace;Nordeste;MG;2023-05-05;2023;5;202305
122;44034;1076;Escritório;Papelaria;5;144,02;229,63;1148,15;428,05;Cartão Crédito;E-commerce;Norte;DF;2024-11-13;2024;11;202411
123;30600;8082;Eletrônicos;Notebooks;5;280,28;543,43;2717,15;1315,75;Cartão Crédito;Marketplace;Nordeste;SP;2018-04-01;2018;4;201804
124;20994;6616;Móveis;Sofás;2;60,29;101,98;203,96;83,38;Dinheiro;Loja Física;Sudeste;PE;2022-03-30;2022;3;202203
125;96625;1838;Vestuário;Tênis;4;493,72;1018,05;4072,2;2097,32;Boleto;Marketplace;Sul;AM;2022-05-19;2022;5;202205
126;18474;5121;Alimentos;Bebidas;8;215,98;528,98;4231,84;2504;Cartão Crédito;Marketplace;Sul;PR;2024-08-24;2024;8;202408
127;56275;3102;Alimentos;Mercearia;3;143,5;186,26;558,78;128,28;Cartão Débito;Marketplace;Norte;AM;2019-07-11;2019;7;201907
128;55036;9746;Vestuário;Calças;2;456,9;746,4;1492,8;579;Dinheiro;Marketplace;Nordeste;PA;2015-08-12;2015;8;201508
129;43318;8276;Vestuário;Camisetas;4;417,96;730,58;2922,32;1250,48;Cartão Débito;Loja Física;Nordeste;GO;2017-03-05;2017;3;201703
130;80569;2514;Móveis;Armários;9;323,57;806,96;7262,64;4350,51;Cartão Débito;E-commerce;Sudeste;MT;2015-11-01;2015;11;201511
131;64565;2354;Móveis;Mesas;10;439,55;588,41;5884,1;1488,6;Cartão Débito;Marketplace;Norte;CE;2021-04-26;2021;4;202104
132;52070;4968;Vestuário;Tênis;9;44,55;67,75;609,75;208,8;Cartão Débito;Marketplace;Sudeste;PR;2020-03-14;2020;3;202003
133;63169;7486;Vestuário;Camisetas;8;361,95;894,26;7154,08;4258,48;Cartão Débito;E-commerce;Nordeste;RJ;2017-12-04;2017;12;201712
134;19823;4139;Escritório;Papelaria;10;439,09;880,86;8808,6;4417,7;Cartão Crédito;Loja Física;Sul;BA;2023-11-20;2023;11;202311
135;12758;2828;Eletrônicos;Acessórios;2;403,34;952,24;1904,48;1097,8;Cartão Crédito;Loja Física;Centro-Oeste;MT;2022-01-09;2022;1;202201
136;78894;4667;Escritório;Organização;3;474,21;1019,01;3057,03;1634,4;Cartão Débito;E-commerce;Norte;SP;2022-10-20;2022;10;202210
137;83511;8488;Alimentos;Mercearia;9;203,22;324,48;2920,32;1091,34;PIX;Loja Física;Sul;MT;2022-07-15;2022;7;202207
138;81892;9796;Eletrônicos;Celulares;9;92,78;137,6;1238,4;403,38;Dinheiro;E-commerce;Norte;ES;2019-08-06;2019;8;201908
139;20365;8538;Alimentos;Snacks;2;26,28;47,24;94,48;41,92;PIX;Marketplace;Sudeste;RS;2015-07-16;2015;7;201507
140;13959;9941;Vestuário;Camisetas;1;280,48;346,69;346,69;66,21;Boleto;E-commerce;Centro-Oeste;ES;2020-01-28;2020;1;202001
141;52715;1613;Eletrônicos;TVs;10;367,09;699,63;6996,3;3325,4;Dinheiro;E-commerce;Nordeste;BA;2022-06-01;2022;6;202206
142;59788;4203;Escritório;Informática;3;61,97;137,86;413,58;227,67;Boleto;Loja Física;Norte;GO;2019-04-24;2019;4;201904
143;88346;3590;Escritório;Informática;5;400,25;617,12;3085,6;1084,35;Boleto;Loja Física;Norte;SC;2023-09-23;2023;9;202309
144;21575;1272;Móveis;Mesas;3;252,75;464,61;1393,83;635,58;Dinheiro;Loja Física;Norte;RJ;2017-01-08;2017;1;201701
145;79846;1183;Eletrônicos;TVs;10;439,35;946,57;9465,7;5072,2;Cartão Crédito;Loja Física;Sul;GO;2019-07-27;2019;7;201907
146;94624;5289;Móveis;Sofás;8;259,05;324,49;2595,92;523,52;Cartão Crédito;Loja Física;Sul;ES;2021-10-05;2021;10;202110
147;54332;5508;Móveis;Cadeiras;9;458,22;780,82;7027,38;2903,4;Cartão Crédito;E-commerce;Sul;DF;2018-02-12;2018;2;201802
148;93316;8907;Escritório;Papelaria;8;209,55;513,86;4110,88;2434,48;Boleto;Marketplace;Norte;AM;2022-01-15;2022;1;202201
149;11786;4325;Eletrônicos;TVs;5;171,97;212;1060;200,15;Boleto;Marketplace;Sul;SP;2024-01-19;2024;1;202401
150;27470;6556;Eletrônicos;Notebooks;7;307,76;716,97;5018,79;2864,47;PIX;E-commerce;Norte;RJ;2015-02-06;2015;2;201502
151;49716;5069;Alimentos;Congelados;4;223,52;431,21;1724,84;830,76;Boleto;Loja Física;Sul;CE;2015-06-29;2015;6;201506
152;40520;7828;Móveis;Mesas;7;147,59;241,25;1688,75;655,62;PIX;Marketplace;Centro-Oeste;AM;2022-03-06;2022;3;202203
153;90461;2823;Eletrônicos;TVs;8;231,57;352,09;2816,72;964,16;Boleto;Marketplace;Norte;PE;2023-12-24;2023;12;202312
154;67495;4392;Móveis;Cadeiras;7;406,73;515,01;3605,07;757,96;Cartão Crédito;E-commerce;Norte;RS;2022-08-22;2022;8;202208
155;39196;7459;Vestuário;Tênis;1;435,06;898,44;898,44;463,38;PIX;Marketplace;Centro-Oeste;GO;2018-12-20;2018;12;201812
156;52655;9237;Vestuário;Camisetas;9;370,12;498,73;4488,57;1157,49;Cartão Crédito;Marketplace;Sudeste;SC;2024-10-01;2024;10;202410
157;36818;9975;Móveis;Cadeiras;1;148,67;247,34;247,34;98,67;Cartão Débito;Loja Física;Norte;MG;2018-03-08;2018;3;201803
158;11041;6417;Escritório;Informática;9;34,29;74,46;670,14;361,53;Cartão Crédito;Marketplace;Nordeste;PA;2021-10-04;2021;10;202110
159;63195;4032;Vestuário;Camisetas;9;185,85;424,58;3821,22;2148,57;Cartão Débito;Marketplace;Norte;MT;2015-09-26;2015;9;201509
160;38768;7035;Alimentos;Snacks;9;146,15;342,71;3084,39;1769,04;Boleto;E-commerce;Centro-Oeste;SC;2024-08-27;2024;8;202408
161;10876;1431;Alimentos;Snacks;6;117,12;163,96;983,76;281,04;PIX;Marketplace;Centro-Oeste;AM;2021-09-18;2021;9;202109
162;49672;4170;Escritório;Impressão;1;404,3;955,66;955,66;551,36;Boleto;Marketplace;Sul;SC;2021-07-04;2021;7;202107
163;55006;9965;Móveis;Sofás;10;52,25;101,75;1017,5;495;Boleto;E-commerce;Sul;MT;2015-04-08;2015;4;201504
164;47209;8756;Alimentos;Snacks;5;131,7;223,84;1119,2;460,7;Boleto;E-commerce;Sudeste;SP;2020-01-14;2020;1;202001
165;25679;3505;Alimentos;Snacks;5;411,55;958,25;4791,25;2733,5;Boleto;E-commerce;Sudeste;RJ;2020-07-31;2020;7;202007
166;68846;1951;Eletrônicos;Notebooks;1;339,04;516,36;516,36;177,32;PIX;E-commerce;Sudeste;BA;2023-06-25;2023;6;202306
167;11921;1478;Alimentos;Bebidas;3;341,81;587,04;1761,12;735,69;Boleto;Marketplace;Sudeste;ES;2019-07-04;2019;7;201907
168;80374;3465;Eletrônicos;Notebooks;6;165,01;387,97;2327,82;1337,76;PIX;E-commerce;Sudeste;CE;2023-01-08;2023;1;202301
169;28179;7230;Alimentos;Congelados;9;63,51;118,95;1070,55;498,96;Cartão Crédito;Loja Física;Sul;MG;2023-06-11;2023;6;202306
170;56900;9207;Escritório;Organização;7;318,89;710,18;4971,26;2739,03;Dinheiro;E-commerce;Nordeste;GO;2015-04-20;2015;4;201504
171;53048;7109;Eletrônicos;Celulares;6;362,36;831,62;4989,72;2815,56;PIX;Marketplace;Sul;RJ;2023-07-03;2023;7;202307
172;74710;5127;Vestuário;Camisetas;3;277,59;517,99;1553,97;721,2;Cartão Crédito;Loja Física;Nordeste;MT;2018-10-31;2018;10;201810
173;10486;4072;Vestuário;Calças;5;152,97;268,9;1344,5;579,65;Boleto;Loja Física;Sudeste;AM;2022-07-15;2022;7;202207
174;42804;1247;Escritório;Informática;2;65,38;146,56;293,12;162,36;Boleto;Loja Física;Norte;AM;2021-05-28;2021;5;202105
175;55610;2915;Móveis;Mesas;3;37,15;59,11;177,33;65,88;Cartão Débito;Marketplace;Norte;PR;2021-10-09;2021;10;202110
176;55868;3739;Alimentos;Bebidas;5;123,67;182;910;291,65;Cartão Débito;Marketplace;Nordeste;BA;2024-12-25;2024;12;202412
177;83484;3979;Vestuário;Calças;1;459,72;974,97;974,97;515,25;Dinheiro;Loja Física;Centro-Oeste;PE;2018-07-15;2018;7;201807
178;73418;7468;Alimentos;Bebidas;1;47,66;59,7;59,7;12,04;Dinheiro;Loja Física;Sudeste;RS;2022-01-19;2022;1;202201
179;85613;1330;Vestuário;Calças;5;65,82;141,05;705,25;376,15;Cartão Crédito;Loja Física;Centro-Oeste;PE;2018-10-31;2018;10;201810
180;79432;8018;Escritório;Impressão;6;50,87;126,58;759,48;454,26;Cartão Débito;Marketplace;Sul;AM;2022-11-18;2022;11;202211
181;59267;5437;Móveis;Sofás;4;86,31;170,51;682,04;336,8;Cartão Crédito;E-commerce;Centro-Oeste;PE;2016-05-13;2016;5;201605
182;20489;5788;Móveis;Mesas;10;113,67;173,6;1736;599,3;Dinheiro;E-commerce;Centro-Oeste;SC;2024-03-12;2024;3;202403
183;24320;8575;Vestuário;Jaquetas;8;486,48;879,9;7039,2;3147,36;Boleto;E-commerce;Sul;MG;2021-09-20;2021;9;202109
184;11611;3860;Vestuário;Calças;4;237,38;366,72;1466,88;517,36;PIX;E-commerce;Sul;SP;2021-02-14;2021;2;202102
185;50142;4787;Móveis;Cadeiras;2;179,21;297,79;595,58;237,16;PIX;Marketplace;Centro-Oeste;PA;2023-08-10;2023;8;202308
